书名,书本描述
克拉克森的农场：田园生活从开始到放弃（划掉）,[英]杰里米·克拉克森 / 2023-2-21 / 台海出版社 / 48 / 平装
妈妈走后,[美]米歇尔·佐纳 / 2023-2 / 北京联合出版公司 / 52.00 / 平装
一介平凡的影迷,[日] 手冢治虫 / 2023-2 / 北京联合出版公司 / 59.80元 / 平装
炽焰燃烧,[美]罗恩·拉什 / 2023-3-15 / 人民文学出版社 / 65.00元 / 法式软精装
作为艺术家的批评家,[英] 奥斯卡·王尔德 / 2023-2 / 北京联合出版公司 / 60 / 平装
犀牛：尤内斯库戏剧全集 3,[法] 欧仁·尤内斯库 / 2023-3-10 / 上海译文出版社 / 86.00 / 平装
拉丁姆（全二卷）,[法] 罗曼·吕卡佐 / 2023-3 / 浙江文艺出版社 / 平装
一只鸟接着一只鸟：关于写作与人生的建议,[美]安·拉莫特 / 2023-3 / 中信出版集团 / 56.00元 / 平装
波斯札记,穆宏燕 / 2023-3 / 北京联合出版公司 / 78 / 平装
女人一思考,陈希米 / 2023-2-1 / 中信出版集团 / 58.00 / 平装
悠悠荡荡小天国,[日]小川糸 / 2023-3 / 湖南文艺出版社 / 49.8 / 平装
坏心情生存手册：情绪崩溃时如何迅速自我顺毛,[加] 卡罗琳·戴奇 / [加] 莎·罗勃鲍姆 / Carolyn Daitch / Lissah Lorberbaum / 2023-3 / 九州出版社 / 45.00元 / 平装
不夜之侯,王旭烽 / 2023-3 / 浙江文艺出版社 / 68.00元 / 平装
快递一个宝宝,[法] 本杰明·雷内 编绘 / 2023-2 / 花山文艺出版社 / 80.00元 / 平装
论《失乐园》,[英]C.S.路易斯 / 2023-3-5 / 华东师范大学出版社 / 68 / 精装
动物园长夫人：一个波兰女性的战争回忆,[美]黛安娜·阿克曼 / 2023-2 / 人民文学出版社 / 75.00 / 平装
现代数学的概念,[英]伊恩·斯图尔特 / 2023-3 / 商务印书馆 / 88.00 / 精装
不再讨好：做安稳强大的自己,黄玉玲 / 2023-4-1 / 人民邮电出版社 / 59.8元 / 平装
女性小传,[西班牙] 罗莎·蒙特罗 / 2023-2 / 浙江人民出版社 / 58 / 平装
